district_id,district_name,map_join_name,region,subregion,latitude,longitude,population_2026_est,urbanicity,remote_level_1_to_5,demo_priority,notes
UG-D001,Kampala,KAMPALA,Central,Kampala,0.3476,32.5825,1900000,Urban,1,1,Synthetic demo district metadata; population rounded for demo.
UG-D002,Wakiso,WAKISO,Central,Buganda,0.4044,32.4594,2600000,Peri-urban,1,1,Synthetic demo district metadata; population rounded for demo.
UG-D003,Mukono,MUKONO,Central,Buganda,0.3533,32.7553,700000,Peri-urban,1,1,Synthetic demo district metadata; population rounded for demo.
UG-D004,Masaka,MASAKA,Central,Buganda,-0.3338,31.7341,420000,Urban-rural,2,1,Synthetic demo district metadata; population rounded for demo.
UG-D005,Luwero,LUWERO,Central,Buganda,0.8492,32.4731,520000,Rural,2,1,Synthetic demo district metadata; population rounded for demo.
UG-D006,Mityana,MITYANA,Central,Buganda,0.4175,32.0228,390000,Rural,2,1,Synthetic demo district metadata; population rounded for demo.
UG-D007,Mubende,MUBENDE,Central,Buganda,0.5897,31.3712,680000,Rural,2,1,Synthetic demo district metadata; population rounded for demo.
UG-D008,Mpigi,MPIGI,Central,Buganda,0.225,32.3136,310000,Rural,2,1,Synthetic demo district metadata; population rounded for demo.
UG-D009,Kayunga,KAYUNGA,Central,Buganda,0.7025,32.8886,420000,Rural,2,1,Synthetic demo district metadata; population rounded for demo.
UG-D010,Kalangala,KALANGALA,Central,Buvuma/Kalangala Islands,-0.32,32.29,65000,Island/remote,4,1,Synthetic demo district metadata; population rounded for demo.
UG-D011,Buvuma,BUVUMA,Central,Buvuma Islands,0.09,33.25,120000,Island/remote,4,1,Synthetic demo district metadata; population rounded for demo.
UG-D012,Jinja,JINJA,Eastern,Busoga,0.4244,33.2042,520000,Urban-rural,1,1,Synthetic demo district metadata; population rounded for demo.
UG-D013,Iganga,IGANGA,Eastern,Busoga,0.6092,33.4686,620000,Rural,2,1,Synthetic demo district metadata; population rounded for demo.
UG-D014,Mayuge,MAYUGE,Eastern,Busoga,0.4597,33.4806,570000,Rural,2,1,Synthetic demo district metadata; population rounded for demo.
UG-D015,Kamuli,KAMULI,Eastern,Busoga,0.945,33.125,600000,Rural,2,1,Synthetic demo district metadata; population rounded for demo.
UG-D016,Mbale,MBALE,Eastern,Bugisu,1.0806,34.175,580000,Urban-rural,1,1,Synthetic demo district metadata; population rounded for demo.
UG-D017,Tororo,TORORO,Eastern,Bukedi,0.6928,34.18,650000,Rural,2,1,Synthetic demo district metadata; population rounded for demo.
UG-D018,Busia,BUSIA,Eastern,Bukedi,0.4659,34.0922,420000,Border,2,1,Synthetic demo district metadata; population rounded for demo.
UG-D019,Soroti,SOROTI,Eastern,Teso,1.7146,33.6111,420000,Urban-rural,1,1,Synthetic demo district metadata; population rounded for demo.
